Student ID,Reading,Writing
1,273,216
2,292,282
3,219,250
4,241,217
5,284,266
6,247,294
7,237,215
8,286,203
9,237,286
10,266,263
11,311,270
12,324,211
13,330,243
14,331,275
15,336,367
16,344,378
17,346,315
18,346,208
19,356,451
20,364,346
21,365,435
22,365,579
23,369,390
24,436,589
25,393,365
26,394,480
27,417,499
28,438,414
29,398,530
30,409,366
31,437,453
32,442,396
33,442,531
34,408,453
35,387,444
36,418,597
37,461,407
38,457,589
39,371,489
40,383,349
41,372,584
42,463,446
43,452,451
44,550,300
45,529,480
46,578,580
47,454,457
48,522,525
49,554,483
50,591,470
51,601,585
52,610,406
53,611,503
54,613,516
55,614,639
56,619,546
57,634,556
58,646,599
59,668,534
60,673,526
61,696,613
62,704,536
63,705,578
64,705,608
65,708,717
66,713,718
67,713,719
68,727,720
69,735,724
70,763,734
71,776,735
72,777,736
73,785,738
74,785,740
75,547,476
76,507,452
77,474,451
78,536,503
79,455,499
80,470,509
81,536,540
82,522,496
83,462,507
84,467,457
85,477,549
86,505,519
87,515,491
88,450,487
89,542,455
90,509,546
91,455,514
92,524,533
93,451,536
94,505,503
95,465,507
96,525,489
97,508,488
98,511,520
99,469,527
100,457,521
101,499,462
102,528,536
103,539,549
104,549,521
